,cpu_rank,cpu_name
0,1,Intel Core i9-12950HX
1,2,Intel Core i9-12900HX
2,3,Intel Core i7-12850HX
3,4,Intel Core i9-12900HK
4,5,Intel Core i9-12900H
5,6,AMD Ryzen 9 6980HX
6,7,Intel Core i7-12800H
7,8,AMD Ryzen 9 PRO 6950H
8,9,AMD Ryzen 9 6900HX
9,10,AMD Ryzen 9 6900HS
10,11,Intel Core i7-12650HX
11,12,Intel Core i7-12700H
12,13,Intel Core i7-12650H
13,14,Intel Core i5-12600H
14,15,Intel Core i5-12600HX
15,16,Intel Core i9-11980HK
16,17,Intel Core i5-12500H
17,18,Intel Core i5-12450H
18,19,Intel Core i9-11900H
19,20,Intel Core i9-10900K
20,21,Intel Core i7-12800HX
21,22,Intel Core i5-12450HX
22,23,AMD Ryzen 9 5980HX
23,24,AMD Ryzen 9 6980HS
24,25,Intel Core i7-11800H
25,26,AMD Ryzen 9 5980HS
26,27,Intel Core i7-10870H
27,28,AMD Ryzen 9 5900HX
28,29,AMD Ryzen 9 PRO 6950HS
29,30,Intel Core i7-11600H
30,31,Intel Core i9-10980HK
31,32,Intel Core i5-10200H
32,33,AMD Ryzen 9 4900H
33,34,Intel Core i7-10700K
34,35,AMD Ryzen 9 5900HS
35,36,AMD Ryzen 9 4900HS
36,37,AMD Ryzen 7 4800H
37,38,Intel Core i9-9900K
38,39,Intel Core i7-10875H
39,40,AMD Ryzen 7 PRO 6850H
40,41,AMD Ryzen 7 6800H
41,42,AMD Ryzen 7 PRO 6850HS
42,43,AMD Ryzen 7 6800HS
43,44,AMD Ryzen 7 4800HS
44,45,AMD Ryzen 7 PRO 6850U
45,46,AMD Ryzen 7 6800U
46,47,AMD Ryzen 5 4600H
47,48,Intel Core i7-10750H
48,49,Intel Xeon W-10885M
49,50,Intel Core i7-10850H
50,51,AMD Ryzen 7 5800H
51,52,Intel Core i9-9980HK
52,53,AMD Ryzen 5 4600HS
53,54,AMD Ryzen 7 5825U
54,55,AMD Ryzen 7 5800U
55,56,AMD Ryzen 7 5800HS
56,57,Intel Core i9-9880H
57,58,AMD Ryzen 7 4980U
58,59,Intel Core i9-8950HK
59,60,Intel Core i7-9750HF
60,61,Intel Core i7-9750H
61,62,Intel Core i7-8850H
62,63,Intel Core i5-11400H
63,64,Intel Core i7-8750H
64,65,AMD Ryzen 7 4800U
65,66,AMD Ryzen 5 PRO 4650U
66,67,Intel Xeon E-2276M
67,68,Intel Core i5-10500H
68,69,AMD Ryzen 7 2700
69,70,Intel Core i5-9400H
70,71,AMD Ryzen 7 1700
71,72,Intel Core i7-11375H
72,73,Intel Core i5-10300H
73,74,Intel Core i7-11390H
74,75,Intel Core i7-6700K Processor
75,76,Intel Core i5-8400H
76,77,Intel Core i7-11370H
77,78,Intel Core i5-9300HF
78,79,Intel Core i5-9300H
79,80,Intel Core i7-7820HK
80,81,AMD Ryzen 7 3750H
81,82,Intel Core i5-11320H
82,83,Intel Core i7-10610U
83,84,Intel Core i5-8300H
84,85,Xeon E3-1505M v5
85,86,Intel Core i7-6820HK
86,87,Intel Core i7-4940MX
87,88,Intel Core i5-11300H
88,89,Intel Core i7-7820HQ
89,90,Intel Core i7-1195G7
90,91,Intel Core i7-10710U
91,92,Intel Core i5-1240P
92,93,Intel Core i7-4930MX
93,94,Intel Core i7-7700HQ
94,95,Intel Core i7-8705G
95,96,Intel Core i7-1065G7
96,97,AMD Ryzen 7 5700U
97,98,Intel Core i7-5950HQ
98,99,Intel Core i7-1280P
99,100,Intel Core i7-1185G7
100,101,Intel Core i7-4980HQ
101,102,AMD Ryzen 5 3550H
102,103,Intel Core i7-5700HQ
103,104,Intel Core i5-1155G7
104,105,Intel Core i5-1145G7
105,106,Intel Core i7-4900MQ
106,107,Intel Core i7-4810MQ
107,108,Intel Core i7-1270P
108,109,Intel Core i7-1165G7
109,110,Intel Core i7-4800MQ
110,111,Intel Core i7-10510U
111,112,Intel Core i5-1038NG7
112,113,Intel Core i7-1265U
113,114,Intel Core i7-1255U
114,115,Intel Core i7-1260P
115,116,Intel Core i7-4870HQ
116,117,AMD Ryzen 5 Pro 5650U
117,118,Intel Core i5-1035G7
118,119,Intel Core i5-1135G7
119,120,Apple M1 Max
120,121,Intel Core i7-6700HQ
121,122,Intel Core i5-1250P
122,123,Intel Core i7-1250U
123,124,Intel Core i7-1260U
124,125,Intel Core i7-4720HQ
125,126,AMD Ryzen 7 PRO 4750U
126,127,Apple M1 Pro 8-Core
127,128,Apple M1 Pro 10-Core
128,129,Intel Core i5-1245U
129,130,Intel Core i7-8565U
130,131,Intel Core i5-8257U
131,132,AMD Ryzen 5 PRO 6650HS
132,133,AMD Ryzen 5 6600HS
133,134,Intel Core i5-8269U
134,135,Intel Core i7-4710HQ
135,136,Intel Core i5-1235U
136,137,Intel Core i7-4710MQ
137,138,Intel Core i7-8650U
138,139,Apple M1
139,140,Intel Core i5-1035G4
140,141,Intel Core i5-1240U
141,142,Intel Core i7-4850HQ
142,143,AMD Ryzen 5 PRO 6650H
143,144,AMD Ryzen 5 6600H
144,145,Intel Core i7-4700HQ
145,146,Intel Core i3-1220P
146,147,AMD Ryzen 7 4700U
147,148,Intel Core i5-10210U
148,149,Intel Core i7-8550U
149,150,Intel Core i7-4770HQ
150,151,Intel Core i7-4700MQ
151,152,Intel Core i5-1035G1
152,153,Intel Core i3-1125G4
153,154,Intel Core i5-8259U
