,gpu,cpu,panel_type,size,resolution,refresh_rate,touch_screen,memory_slot,hard_disk_drive,hdmi,displayport,d_sub_vga,thunderbolt,bluetooth,os_bundle,web_camera,optical_drive,fingerprint,body_material,weight,keyboard_backlit,numpad,other_detail,warranty,m2PCIe_slot,m2Combo_slot,m2SATA_slot,mem_size,mem_type,mem_onboard,ssd_size,usbtype_A,usbtype_C,prices
0,AMD Radeon 520,Intel Core i3-7020U,TN,15.6,2073600,60,0,2,yes,1,0,0,0,Bluetooth 4.1,Windows 10,HD,0,0,Plastic,2.19,no,yes,no,2,1,0,0,4,DDR4,0,0,1,0,16490
1,AMD Radeon 535,Intel Core i5-8250U,IPS,15.6,2073600,60,0,1,yes,1,0,0,0,Bluetooth 4.0,Windows 10,HD,0,0,Aluminium + Plastic,1.87,yes,yes,no,2,0,0,0,4,DDR4,0,0,2,1,21490
2,AMD Radeon 610,Intel Core i5-10210U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,2.17,no,yes,no,2,1,0,0,8,DDR4,0,256,1,0,20900
3,AMD Radeon 610,Intel Core i7-10510U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,2.17,no,yes,no,2,1,0,0,8,DDR4,0,256,1,0,24900
4,AMD Radeon 620,AMD Athlon Gold 3150U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Aluminium,1.69,no,no,no,2,1,0,0,8,DDR4,0,256,2,1,12900
5,AMD Radeon 620,Intel Core i7-10510U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,DOS Operating System,HD,0,1,Aluminium + Plastic,1.8,yes,yes,no,1,0,1,0,8,DDR4,0,256,1,2,20900
6,AMD Radeon 625,Intel Core i5-10210U,IPS,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,DOS Operating System,HD,0,1,Aluminium,1.5,yes,no,no,1,1,0,0,8,DDR4,1,256,1,1,19900
7,AMD Radeon 630,Intel Core i5-10210U,IPS,13.3,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.32,yes,no,no,1,0,1,0,8,DDR4,0,256,2,1,22700
8,AMD Radeon 680M,AMD Ryzen 7 6800U,OLED,13.3,5184000,60,0,2,no,0,0,0,0,Bluetooth 5.2,Windows 11,HD,0,1,Plastic,1.0,yes,yes,yes,2,1,0,0,16,LPDDR5,1,512,3,0,35990
9,AMD Radeon R2,AMD A4-9120e,TN,15.6,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.2,Windows 10,Below HD,0,0,Plastic,1.9,no,yes,no,2,1,0,0,4,DDR4,0,0,2,0,8990
10,AMD Radeon R2,AMD A4-9120e,TN,14.0,1049088,60,0,2,yes,1,0,0,0,Bluetooth 4.0,Windows 10,Below HD,0,0,Plastic,2.1,no,no,no,2,1,0,0,4,DDR4,0,0,2,0,8900
11,AMD Radeon R2,AMD A4-9125,TN,14.0,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,7990
12,AMD Radeon R2,AMD A4-9125,TN,15.6,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,7990
13,AMD Radeon R2,AMD A4-9125,TN,15.6,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,7990
14,AMD Radeon R2,AMD A4-9125,TN,14.0,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,1,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,7990
15,AMD Radeon R2,AMD A4-9125,TN,14.0,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,7990
16,AMD Radeon R3,AMD A4-9120e,TN,14.0,1049088,60,0,2,yes,1,0,0,0,Bluetooth 4.0,Windows 10,Below HD,0,0,Plastic,2.1,no,no,no,2,1,0,0,4,DDR4,0,0,2,1,8990
17,AMD Radeon R3,AMD A4-9120e,TN,14.0,1049088,60,0,2,yes,1,0,0,0,Bluetooth 4.0,Windows 10,Below HD,0,0,Plastic,2.1,no,no,no,2,1,0,0,4,DDR4,0,0,2,1,8990
18,AMD Radeon R3,AMD A4-9120e,TN,15.6,1049088,60,0,2,yes,1,0,0,0,Bluetooth 4.2,Windows 10,Below HD,0,0,Plastic,2.1,no,no,no,2,1,0,0,4,DDR4,0,0,2,0,8990
19,AMD Radeon R3,AMD A4-9125,TN,14.0,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.47,no,no,no,2,1,0,0,4,DDR4,0,0,1,0,9900
20,AMD Radeon R3,AMD A4-9125,TN,14.0,1049088,60,0,2,yes,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.47,no,no,no,2,1,0,0,4,DDR4,0,0,1,0,8990
21,AMD Radeon R4,AMD A6-9220e,TN,14.0,1049088,60,0,1,yes,1,0,0,0,Bluetooth 4.2,Windows 10,Below HD,1,0,Plastic,2.0,no,no,no,2,1,0,0,4,DDR4,0,0,0,0,11900
22,AMD Radeon R4,AMD A6-9225,TN,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.6,no,no,no,2,1,0,0,4,DDR4,0,512,1,0,11990
