,gpu_rank,gpu_name
0,1,NVIDIA GeForce RTX 3080 Ti
1,2,NVIDIA GeForce RTX 3080
2,3,NVIDIA GeForce RTX 3080
3,4,NVIDIA GeForce RTX 3070 Ti
4,5,NVIDIA GeForce RTX 3070
5,6,NVIDIA GeForce RTX 2080 Super
6,7,Intel Arc A770M
7,8,AMD Radeon RX 6850M XT
8,9,AMD Radeon RX 6800M
9,10,NVIDIA GeForce RTX 3060 Max-Q
10,11,NVIDIA GeForce RTX 3060 Max-Q
11,12,NVIDIA GeForce RTX 2070 Super
12,13,NVIDIA GeForce RTX 3060
13,14,NVIDIA GeForce RTX 3060
14,15,Intel Arc A370M
15,16,NVIDIA GeForce RTX 2080
16,17,NVIDIA GeForce RTX 2080 Super Max-Q
17,18,NVIDIA GeForce RTX 3050 Ti
18,19,AMD Radeon RX 6700M
19,20,AMD Radeon RX 6500M
20,21,NVIDIA GeForce RTX 3050
21,22,Intel Arc A730M
22,23,AMD Radeon RX 6800S
23,24,AMD Radeon RX 6600M
24,25,Intel Arc A550M
25,26,NVIDIA GeForce RTX 2080 Max-Q
26,27,AMD Radeon RX 5600M
27,28,NVIDIA Quadro RTX 5000 Max-Q
28,29,NVIDIA Quadro RTX 5000
29,30,NVIDIA GeForce RTX 2070 Super Max-Q
30,31,NVIDIA GeForce RTX 2070
31,32,AMD Radeon RX 6700S
32,33,Intel Arc A350M
33,34,NVIDIA GeForce GTX 1080
34,35,NVIDIA GeForce GTX 1080
35,36,AMD Radeon RX 6600S
36,37,NVIDIA GeForce RTX 2070 Max-Q
37,38,AMD Radeon RX Vega 56
38,39,NVIDIA Quadro RTX 3000
39,40,NVIDIA GeForce RTX 2060
40,41,NVIDIA GeForce GTX 980M
41,42,NVIDIA GeForce RTX 2060 Max-Q
42,43,NVIDIA Quadro RTX 3000 Max-Q
43,44,NVIDIA Quadro P3200
44,45,NVIDIA GeForce GTX 1070
45,46,NVIDIA GeForce GTX 1070
46,47,NVIDIA GeForce GTX 1080 Max-Q
47,48,NVIDIA GeForce GTX 1070 Max-Q
48,49,NVIDIA GeForce GTX 1060
49,50,NVIDIA Quadro P3000
50,51,NVIDIA GeForce GTX 1060
51,52,NVIDIA GeForce GTX 1660 Ti
52,53,NVIDIA GeForce GTX 1660 Ti
53,54,NVIDIA GeForce GTX 980
54,55,NVIDIA GeForce GTX 1660 Ti Max-Q
55,56,AMD Radeon Pro 5500M
56,57,NVIDIA GeForce GTX 970M
57,58,AMD Radeon RX 5500M
58,59,NVIDIA GeForce RTX 3080 Max-Q
59,60,NVIDIA GeForce RTX 3080 Max-Q
60,61,NVIDIA GeForce GTX 1650 Ti
61,62,NVIDIA GeForce GTX 1650 Ti
62,63,NVIDIA Quadro M5000M
63,64,NVIDIA GeForce GTX 1650
64,65,NVIDIA GeForce GTX 965M
65,66,NVIDIA Quadro T2000
66,67,NVIDIA Quadro T2000
67,68,AMD Radeon Pro 5300M
68,69,NVIDIA GeForce GTX 1060 Max-Q
69,70,NVIDIA GeForce GTX 1650
70,71,NVIDIA GeForce GTX 1060 Max-Q
71,72,NVIDIA GeForce GTX 980M
72,73,NVIDIA Quadro T1000
73,74,NVIDIA Quadro T1000
74,75,NVIDIA GeForce GTX 1650 Ti Max-Q
75,76,NVIDIA GeForce 845M
76,77,Apple M1 Max 32-Core GPU
77,78,AMD Radeon RX 580
78,79,NVIDIA GeForce GTX 1650 Max-Q
79,80,NVIDIA GeForce GTX 980M
80,81,Apple M1 Pro 16-Core GPU
81,82,NVIDIA GeForce GTX 1650 Max-Q
82,83,NVIDIA GeForce GTX 970M
83,84,Apple M1 Pro 14-Core GPU
84,85,NVIDIA GeForce GTX 970M
85,86,NVIDIA Quadro P2000
86,87,Apple M1 8-Core GPU
87,88,AMD Radeon Pro Vega 20
88,89,NVIDIA Quadro P620
89,90,Apple M1 7-Core GPU
90,91,NVIDIA GeForce GTX 1050Ti
91,92,NVIDIA GeForce GTX 880M
92,93,AMD Radeon RX560X
93,94,AMD Radeon RX560
94,95,NVIDIA GeForce GTX 1050Ti Max-Q
95,96,NVIDIA GeForce GTX 1050Ti
96,97,NVIDIA GeForce GTX 880M
97,98,AMD Radeon RX 460
98,99,NVIDIA GeForce MX450
99,100,NVIDIA GeForce MX450
100,101,NVIDIA GeForce MX450
101,102,NVIDIA GeForce MX450
102,103,NVIDIA GeForce MX450
103,104,NVIDIA Quadro P1000
104,105,NVIDIA Quadro M2200
105,106,NVIDIA GeForce GTX 965M
106,107,NVIDIA GeForce GTX 965M
107,108,AMD Radeon R9 M275
108,109,NVIDIA GeForce GTX 760M
109,110,NVIDIA GeForce GTX 1050 Max-Q
110,111,NVIDIA GeForce GTX 780M
111,112,AMD Radeon Pro 560X
112,113,NVIDIA GeForce GTX 1050 Max-Q
113,114,NVIDIA GeForce GTX 870M
114,115,NVIDIA GeForce GTX 870MX
115,116,NVIDIA GeForce GTX 1050
116,117,NVIDIA GeForce GTX 870M
117,118,NVIDIA GeForce MX570
118,119,AMD Radeon HD 8970M
119,120,NVIDIA GeForce GTX 1050
120,121,AMD Radeon Pro 555X
121,122,NVIDIA GeForce MX550
122,123,AMD Radeon RX Vega M GL / 870
123,124,NVIDIA GeForce GTX 1050
124,125,NVIDIA Quadro M1200
125,126,AMD Radeon R9 M290X
126,127,NVIDIA Quadro K4100M
127,128,NVIDIA GeForce GTX 960M
128,129,NVIDIA GeForce GTX 960M
129,130,Intel Iris Xe Max Graphics
130,131,NVIDIA GeForce MX350
131,132,NVIDIA GeForce GTX 680MX
132,133,AMD Radeon Pro 555
133,134,AMD Radeon HD 7970M
134,135,AMD Radeon Pro 560
135,136,NVIDIA GeForce GTX 860M
136,137,AMD Radeon RX550
137,138,Intel Iris Xe Graphics G7
138,139,NVIDIA GeForce GTX 860M
139,140,NVIDIA GeForce GTX 680M
140,141,AMD Radeon RX Vega 8
141,142,NVIDIA GeForce MX150
142,143,NVIDIA GeForce GTX 770MX
143,144,NVIDIA Quadro M1000M
144,145,NVIDIA GeForce GTX 950M
145,146,NVIDIA GeForce MX150
146,147,NVIDIA GeForce GTX 950M
147,148,NVIDIA GeForce GTX 770M
148,149,NVIDIA GeForce GTX 950M
149,150,AMD Radeon RX Vega 7
150,151,NVIDIA GeForce MX330
151,152,NVIDIA Quadro M2000M
152,153,Intel UHD Graphics Xe G4
153,154,NVIDIA GeForce GTX 950M
154,155,NVIDIA GeForce MX250
155,156,AMD Radeon RX 640
156,157,AMD Radeon R9 M280X
157,158,NVIDIA GeForce GTX 675MX
158,159,NVIDIA GeForce GTX 675MX
159,160,AMD Radeon RX540
160,161,NVIDIA GeForce GTX 765MX
161,162,NVIDIA Quadro K3100M
162,163,NVIDIA GeForce GTX 850M
163,164,NVIDIA GeForce GTX 765M
164,165,NVIDIA Quadro P520
165,166,AMD Radeon RX Vega 7
166,167,AMD Radeon RX Vega 7
167,168,4000
168,169,AMD Radeon RX Vega 8
169,170,NVIDIA GeForce GTX 850M
170,171,AMD Radeon RX Vega 8
171,172,4000
172,173,AMD Radeon RX Vega 7
173,174,NVIDIA GeForce GTX 850M
174,175,AMD Radeon 630
175,176,NVIDIA GeForce GTX 670MX
176,177,NVIDIA GeForce MX130
177,178,NVIDIA GeForce MX130
178,179,NVIDIA GeForce GT 940MX
179,180,NVIDIA GeForce GT 940MX
180,181,NVIDIA GeForce MX130
181,182,NVIDIA GeForce MX130
182,183,NVIDIA GeForce GTX 580M
183,184,NVIDIA GeForce GT 940MX
184,185,NVIDIA GeForce GT 940MX
185,186,AMD FirePro M5100
186,187,NVIDIA GeForce GT 940M
187,188,NVIDIA GeForce GT 940M
188,189,AMD Radeon R9 M270
189,190,AMD Radeon R9 M375
190,191,NVIDIA GeForce MX230
191,192,AMD Radeon HD 7870M
192,193,AMD Radeon R9 M270
193,194,NVIDIA GeForce GT 930MX
194,195,AMD Radeon R7 M270
195,196,AMD Radeon RX Vega 6
196,197,AMD Radeon 540X
197,198,NVIDIA GeForce GTX 670M
198,199,AMD Radeon R9 M270
199,200,NVIDIA GeForce GT 755M
200,201,NVIDIA Quadro K2200M
201,202,AMD Radeon R9 M370X
202,203,NVIDIA GeForce GTX 670M
203,204,Intel Iris Plus Graphics 655
204,205,Intel Iris Plus Graphics 645
205,206,NVIDIA Quadro K2100M
206,207,NVIDIA GeForce GT 750M
207,208,AMD Radeon RX Vega 5
208,209,AMD Radeon RX Vega 9
209,210,NVIDIA GeForce GT 750M
210,211,AMD Radeon RX Vega 10
211,212,Intel Iris Plus Graphics G7
212,213,NVIDIA GeForce GTX 570M
213,214,NVIDIA GeForce GTX 660M
214,215,AMD Radeon 680M
215,216,Intel Iris Graphics 550
216,217,NVIDIA GeForce GT 750M
217,218,AMD Radeon 540
218,219,AMD Radeon Radeon 660M
219,220,Intel Iris Plus Graphics 650
220,221,AMD Radeon 540
221,222,AMD FirePro W4170M
222,223,AMD Radeon 625
223,224,AMD Radeon RX Vega 8
224,225,Intel Iris Plus Graphics G4
225,226,Intel Iris Plus Graphics 640
