,names,prices,urls,Brand,Model,Model Year,CPU,GPU,Panel Type,Size,Resolution,Refresh Rate,Touch Screen,Memory Size,Memory Slot,Hard Disk Drive,Solid State Drive,M.2 Slot,USB Ports,,HDMI,DisplayPort,D-Sub/VGA,Thunderbolt,Wireless LAN,Ethernet LAN,Bluetooth,OS Bundle,Web Camera,Optical Drive,Fingerprint,Body Material,Body Color,Weight,Battery Type,Keyboard Type,Keyboard Backlit,Numpad,Other Detail,Warranty,Insurance
0,Acer Predator Helios 300 PH317-56-75RR,"79,900",https://notebookspec.com/notebook/12133-acer-predator-helios-300-ph317-56-75rr.html,Acer,Acer Predator Helios 300 PH317-56-75RR,Q3 / 2022,"Intel Core i7-12700H (3.50 GHz, 24 MB L3 Cache, up to 4.70 GHz)",NVIDIA GeForce RTX 3060 (6GB GDDR6),IPS,17.3 นิ้ว,17.3 inch (2560x1440) QHD 2K,165 Hz,ไม่รองรับ,32 GB DDR5,2 Slots,ไม่มี,1TB SSD PCIe M.2 Gen 4,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Abyssal Black,2.99 kg,"4-Cell Li-ion, 90Whr",RGB Chiclet Keyboard,มี,มี,,3Y (Parts & Labor & Onsite),ไม่มี
1,Acer Predator Helios 300 PH317-56-71ZW,"66,900",https://notebookspec.com/notebook/12132-acer-predator-helios-300-ph317-56-71zw.html,Acer,Acer Predator Helios 300 PH317-56-71ZW,Q3 / 2022,"Intel Core i7-12700H (3.50 GHz, 24 MB L3 Cache, up to 4.70 GHz)",NVIDIA GeForce RTX 3060 (6GB GDDR6),IPS,17.3 นิ้ว,17.3 inch (2560x1440) QHD 2K,165 Hz,ไม่รองรับ,16 GB DDR5,2 Slots,ไม่มี,1TB SSD PCIe M.2 Gen 4,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Abyssal Black,2.99 kg,"4-Cell Li-ion, 90Whr",RGB Chiclet Keyboard,มี,มี,,3Y (Parts & Labor & Onsite),ไม่มี
2,Acer Nitro 5 AN515-58-705T,"41,990",https://notebookspec.com/notebook/12131-acer-nitro-5-an515-58-705t.html,Acer,Acer Nitro 5 AN515-58-705T,Q3 / 2022,"Intel Core i7-12700H (3.50 GHz, 24 MB L3 Cache, up to 4.70 GHz)",NVIDIA GeForce RTX 3050 Ti (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,165 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax (Wi-Fi 6),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Obsidian Black,2.5 kg,"4-Cell Li-ion, 57.5 Wh",RGB Chiclet Keyboard,มี,มี,,3Y (Parts & Labor & Onsite),ไม่มี
3,Acer Nitro 5 AN515-58-50WD,"37,990",https://notebookspec.com/notebook/12130-acer-nitro-5-an515-58-50wd.html,Acer,Acer Nitro 5 AN515-58-50WD,Q3 / 2022,"Intel Core i5-12500H (3.30 GHz, 18 MB L3 Cache, up to 4.50 GHz)",NVIDIA GeForce RTX 3050 Ti (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,165 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax (Wi-Fi 6),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Obsidian Black,2.5 kg,"4-Cell Li-ion, 57.5 Wh",RGB Chiclet Keyboard,มี,มี,,3Y (Parts & Labor & Onsite),ไม่มี
4,Acer Nitro 5 AN515-46-R12A,"37,990",https://notebookspec.com/notebook/12129-acer-nitro-5-an515-46-r12a.html,Acer,Acer Nitro 5 AN515-46-R12A,Q3 / 2022,"AMD Ryzen 5 6600H (3.30 GHz up to 4.50 GHz, 16MB L3 Cache)",NVIDIA GeForce RTX 3050 Ti (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,165 Hz,ไม่รองรับ,8 GB DDR5,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Obsidian Black,2.5 kg,"4-Cell Li-ion, 57.5 Wh",RGB Chiclet Keyboard,มี,มี,,3Y (Parts & Labor & Onsite),ไม่มี
5,MSI GF63 Thin 11UC-877TH,"31,990",https://notebookspec.com/notebook/12128-msi-gf63-thin-11uc-877th.html,MSI,MSI GF63 Thin 11UC-877TH,Q3 / 2022,"Intel Core i5-11400H (2.70 GHz, 12 MB L3 Cache up to 4.50 Ghz)",NVIDIA GeForce RTX 3050 (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Black,1.86 kg,"3-Cell Li-Polymer, 52.4Wh",Chiclet keyboard,มี,ไม่มี,,2Y (1 year Global+ 1 Year Thailand),ไม่มี
6,Huawei MateBook 16s-i7/16/1TB,"99,999",https://notebookspec.com/notebook/12127-huawei-matebook-16s-i7161tb.html,Huawei,Huawei MateBook 16s-i7/16/1TB,Q3 / 2022,"Intel Core i7-12700H (3.50 GHz, 24 MB L3 Cache, up to 4.70 GHz)",Intel Iris Xe Graphics G7,IPS,16 นิ้ว,16 inch WQXGA (2560x1600) 2.5K sRGB 100%,60 Hz,รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),FHD IR Camera for Windows Hello,ไม่มี,มี,Aluminium Alloy,Space Gray,1.99 kg,"Li-Polymer, 84Wh",Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,1 Y. Carry-in Region,ไม่มี
7,Acer Swift 5 SF514-56T-788G,"45,990",https://notebookspec.com/notebook/12126-acer-swift-5-sf514-56t-788g.html,Acer,Acer Swift 5 SF514-56T-788G,Q3 / 2022,"Intel Core i7-1260P (1.50 GHz, 18 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch WQXGA (2560x1600) 2.5K sRGB 100%,60 Hz,รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2 Gen 4,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),FHD Camera,ไม่มี,มี,Aluminium + Plastic,Steam Blue,1.2 kg,"4-cell Li-ion, 56Whr",Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y. (1Y. On-site + 2Y. Carry-in),ไม่มี
8,Acer Swift 5 SF514-56T-71VH,"45,990",https://notebookspec.com/notebook/12125-acer-swift-5-sf514-56t-71vh.html,Acer,Acer Swift 5 SF514-56T-71VH,Q3 / 2022,"Intel Core i7-1260P (1.50 GHz, 18 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch WQXGA (2560x1600) 2.5K sRGB 100%,60 Hz,รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2 Gen 4,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),FHD Camera,ไม่มี,มี,Aluminium + Plastic,Mist Green,1.2 kg,"4-cell Li-ion, 56Whr",Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y. (1Y. On-site + 2Y. Carry-in),ไม่มี
9,Asus TUF Gaming A15 FA506ICB-HN103W,"29,990",https://notebookspec.com/notebook/12124-asus-tuf-gaming-a15-fa506icb-hn103w.html,Asus,Asus TUF Gaming A15 FA506ICB-HN103W,Q3 / 2022,"AMD Ryzen 7 4800H (2.90 GHz up to 4.20 GHz, 8 MB L3 Cache)",NVIDIA GeForce RTX 3050 (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Plastic,Graphite Black,2.3 kg,"3-Cell Li-ion, 48WHrs",Chiclet Keyboard RGB,มี,มี,,2Y Carry-in Regional + 1Y Perfect,ไม่มี
